"Kandidatas";"Iškėlė";"apylinkėse";"paštu";"iš viso";"% nuo galiojančių biuletenių";"% nuo dalyvavusių rinkėjų";"Apygarda";"Apygardos_numeris"
"ŽYGIMANTAS PAVILIONIS";"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"7441";"4045";"11486";"44,09";"43,14";"Naujamiesčio";1
"VIRGILIJUS ALEKNA";"Lietuvos Respublikos liberalų sąjūdis";"3422";"1614";"5036";"19,33";"18,91";"Naujamiesčio";1
"DOVILĖ ŠAKALIENĖ";"Lietuvos valstiečių ir žaliųjų sąjunga";"1240";"757";"1997";"7,66";"7,50";"Naujamiesčio";1
"FAUSTAS LATĖNAS";"Lietuvos socialdemokratų partija";"1399";"338";"1737";"6,67";"6,52";"Naujamiesčio";1
"PETRAS NAUSĖDA";"Lietuvos laisvės sąjunga (liberalai)";"645";"248";"893";"3,43";"3,35";"Naujamiesčio";1
"ARTUR LIUDKOVSKI";"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"758";"86";"844";"3,24";"3,17";"Naujamiesčio";1
"JŪRATĖ ZABIELAITĖ";"Politinė partija „Lietuvos sąrašas“";"527";"256";"783";"3,01";"2,94";"Naujamiesčio";1
"LAURYNAS OKOCKIS";"Lietuvos žaliųjų partija";"479";"270";"749";"2,87";"2,81";"Naujamiesčio";1
"ALVYDAS MEDALINSKAS";"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"465";"211";"676";"2,59";"2,54";"Naujamiesčio";1
"IEVA KAČINSKAITĖ-URBONIENĖ";"Darbo partija";"453";"165";"618";"2,37";"2,32";"Naujamiesčio";1
"ELONA ŠVIPIENĖ";"Lietuvos liaudies partija";"246";"284";"530";"2,03";"1,99";"Naujamiesčio";1
"DAIVA URBONAVIČIŪTĖ";"Partija Tvarka ir teisingumas";"320";"116";"436";"1,67";"1,64";"Naujamiesčio";1
"ARŪNAS EIGIRDAS";"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"138";"62";"200";"0,77";"0,75";"Naujamiesčio";1
"EINARAS VILDĖ";"„Drąsos kelias“ politinė partija";"41";"28";"69";"0,26";"0,26";"Naujamiesčio";1
"MYKOLAS MAJAUSKAS";"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"6458";"921";"7379";"36,32";"35,07";"Senamiesčio";2
"ARTŪRAS ZUOKAS";"Lietuvos laisvės sąjunga (liberalai)";"3150";"364";"3514";"17,30";"16,70";"Senamiesčio";2
