"partijos_no";"partija_full";"apylinkes";"pastas";"balsai";"proc_rinkejai";"proc_rinkejai_lt";"apygarda";"apygardos_no";"partija"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"7148";"3811";"10959";"40,97";"21,66";"Naujamiesčio";1;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"1575";"670";"2245";"8,39";"21,54";"Naujamiesčio";1;"LVZS"
1;"Lietuvos socialdemokratų partija";"1735";"450";"2185";"8,17";"14,43";"Naujamiesčio";1;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"3440";"1873";"5313";"19,86";"9,04";"Naujamiesčio";1;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"413";"287";"700";"2,62";"6,06";"Naujamiesčio";1;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"809";"84";"893";"3,34";"5,49";"Naujamiesčio";1;"LLRA"
5;"Partija Tvarka ir teisingumas";"393";"146";"539";"2,01";"5,33";"Naujamiesčio";1;"PTT"
8;"Darbo partija";"425";"133";"558";"2,09";"4,69";"Naujamiesčio";1;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"694";"229";"923";"3,45";"2,14";"Naujamiesčio";1;"LLS"
12;"Lietuvos žaliųjų partija";"363";"224";"587";"2,19";"1,94";"Naujamiesčio";1;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"449";"240";"689";"2,58";"1,72";"Naujamiesčio";1;"LS"
10;"Lietuvos liaudies partija";"234";"284";"518";"1,94";"1,01";"Naujamiesčio";1;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"113";"65";"178";"0,67";"0,54";"Naujamiesčio";1;"JL"
9;"„Drąsos kelias“ politinė partija";"24";"16";"40";"0,15";"0,28";"Naujamiesčio";1;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"6809";"970";"7779";"36,86";"21,66";"Senamiesčio";2;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"1632";"195";"1827";"8,66";"21,54";"Senamiesčio";2;"LVZS"
1;"Lietuvos socialdemokratų partija";"1834";"218";"2052";"9,72";"14,43";"Senamiesčio";2;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"3085";"404";"3489";"16,53";"9,04";"Senamiesčio";2;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"508";"130";"638";"3,02";"6,06";"Senamiesčio";2;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1235";"73";"1308";"6,20";"5,49";"Senamiesčio";2;"LLRA"
5;"Partija Tvarka ir teisingumas";"468";"57";"525";"2,49";"5,33";"Senamiesčio";2;"PTT"
8;"Darbo partija";"369";"54";"423";"2,00";"4,69";"Senamiesčio";2;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"1135";"116";"1251";"5,93";"2,14";"Senamiesčio";2;"LLS"
12;"Lietuvos žaliųjų partija";"321";"31";"352";"1,67";"1,94";"Senamiesčio";2;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"581";"61";"642";"3,04";"1,72";"Senamiesčio";2;"LS"
10;"Lietuvos liaudies partija";"159";"20";"179";"0,85";"1,01";"Senamiesčio";2;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"101";"10";"111";"0,53";"0,54";"Senamiesčio";2;"JL"
9;"„Drąsos kelias“ politinė partija";"31";"2";"33";"0,16";"0,28";"Senamiesčio";2;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"7426";"828";"8254";"37,74";"21,66";"Antakalnio";3;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2163";"178";"2341";"10,70";"21,54";"Antakalnio";3;"LVZS"
1;"Lietuvos socialdemokratų partija";"2239";"212";"2451";"11,21";"14,43";"Antakalnio";3;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"3168";"246";"3414";"15,61";"9,04";"Antakalnio";3;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"408";"48";"456";"2,09";"6,06";"Antakalnio";3;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1239";"73";"1312";"6,00";"5,49";"Antakalnio";3;"LLRA"
5;"Partija Tvarka ir teisingumas";"441";"51";"492";"2,25";"5,33";"Antakalnio";3;"PTT"
8;"Darbo partija";"348";"56";"404";"1,85";"4,69";"Antakalnio";3;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"880";"82";"962";"4,40";"2,14";"Antakalnio";3;"LLS"
12;"Lietuvos žaliųjų partija";"408";"26";"434";"1,98";"1,94";"Antakalnio";3;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"496";"32";"528";"2,41";"1,72";"Antakalnio";3;"LS"
10;"Lietuvos liaudies partija";"179";"13";"192";"0,88";"1,01";"Antakalnio";3;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"101";"7";"108";"0,49";"0,54";"Antakalnio";3;"JL"
9;"„Drąsos kelias“ politinė partija";"21";"3";"24";"0,11";"0,28";"Antakalnio";3;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5445";"689";"6134";"31,75";"21,66";"Žirmūnų";4;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"1989";"179";"2168";"11,22";"21,54";"Žirmūnų";4;"LVZS"
1;"Lietuvos socialdemokratų partija";"2112";"206";"2318";"12,00";"14,43";"Žirmūnų";4;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2362";"268";"2630";"13,61";"9,04";"Žirmūnų";4;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"590";"49";"639";"3,31";"6,06";"Žirmūnų";4;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1630";"68";"1698";"8,79";"5,49";"Žirmūnų";4;"LLRA"
5;"Partija Tvarka ir teisingumas";"514";"64";"578";"2,99";"5,33";"Žirmūnų";4;"PTT"
8;"Darbo partija";"438";"38";"476";"2,46";"4,69";"Žirmūnų";4;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"826";"74";"900";"4,66";"2,14";"Žirmūnų";4;"LLS"
12;"Lietuvos žaliųjų partija";"300";"30";"330";"1,71";"1,94";"Žirmūnų";4;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"658";"43";"701";"3,63";"1,72";"Žirmūnų";4;"LS"
10;"Lietuvos liaudies partija";"136";"8";"144";"0,75";"1,01";"Žirmūnų";4;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"63";"15";"78";"0,40";"0,54";"Žirmūnų";4;"JL"
9;"„Drąsos kelias“ politinė partija";"19";"3";"22";"0,11";"0,28";"Žirmūnų";4;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5765";"430";"6195";"30,64";"21,66";"Fabijoniškių";5;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2478";"130";"2608";"12,90";"21,54";"Fabijoniškių";5;"LVZS"
1;"Lietuvos socialdemokratų partija";"1978";"96";"2074";"10,26";"14,43";"Fabijoniškių";5;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2886";"212";"3098";"15,32";"9,04";"Fabijoniškių";5;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"724";"35";"759";"3,75";"6,06";"Fabijoniškių";5;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"1761";"65";"1826";"9,03";"5,49";"Fabijoniškių";5;"LLRA"
5;"Partija Tvarka ir teisingumas";"458";"27";"485";"2,40";"5,33";"Fabijoniškių";5;"PTT"
8;"Darbo partija";"523";"45";"568";"2,81";"4,69";"Fabijoniškių";5;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"893";"59";"952";"4,71";"2,14";"Fabijoniškių";5;"LLS"
12;"Lietuvos žaliųjų partija";"322";"17";"339";"1,68";"1,94";"Fabijoniškių";5;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"522";"20";"542";"2,68";"1,72";"Fabijoniškių";5;"LS"
10;"Lietuvos liaudies partija";"199";"4";"203";"1,00";"1,01";"Fabijoniškių";5;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"103";"7";"110";"0,54";"0,54";"Fabijoniškių";5;"JL"
9;"„Drąsos kelias“ politinė partija";"19";"5";"24";"0,12";"0,28";"Fabijoniškių";5;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3888";"359";"4247";"24,66";"21,66";"Šeškinės";6;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2353";"133";"2486";"14,44";"21,54";"Šeškinės";6;"LVZS"
1;"Lietuvos socialdemokratų partija";"1949";"115";"2064";"11,99";"14,43";"Šeškinės";6;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1739";"125";"1864";"10,83";"9,04";"Šeškinės";6;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"668";"30";"698";"4,05";"6,06";"Šeškinės";6;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"2180";"87";"2267";"13,17";"5,49";"Šeškinės";6;"LLRA"
5;"Partija Tvarka ir teisingumas";"523";"30";"553";"3,21";"5,33";"Šeškinės";6;"PTT"
8;"Darbo partija";"648";"46";"694";"4,03";"4,69";"Šeškinės";6;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"867";"61";"928";"5,39";"2,14";"Šeškinės";6;"LLS"
12;"Lietuvos žaliųjų partija";"243";"17";"260";"1,51";"1,94";"Šeškinės";6;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"392";"26";"418";"2,43";"1,72";"Šeškinės";6;"LS"
10;"Lietuvos liaudies partija";"168";"7";"175";"1,02";"1,01";"Šeškinės";6;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"60";"5";"65";"0,38";"0,54";"Šeškinės";6;"JL"
9;"„Drąsos kelias“ politinė partija";"18";"0";"18";"0,10";"0,28";"Šeškinės";6;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"4065";"342";"4407";"25,69";"21,66";"Justiniškių";7;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2145";"112";"2257";"13,15";"21,54";"Justiniškių";7;"LVZS"
1;"Lietuvos socialdemokratų partija";"1869";"131";"2000";"11,66";"14,43";"Justiniškių";7;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1981";"132";"2113";"12,32";"9,04";"Justiniškių";7;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"847";"37";"884";"5,15";"6,06";"Justiniškių";7;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"2258";"82";"2340";"13,64";"5,49";"Justiniškių";7;"LLRA"
5;"Partija Tvarka ir teisingumas";"493";"32";"525";"3,06";"5,33";"Justiniškių";7;"PTT"
8;"Darbo partija";"512";"18";"530";"3,09";"4,69";"Justiniškių";7;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"737";"31";"768";"4,48";"2,14";"Justiniškių";7;"LLS"
12;"Lietuvos žaliųjų partija";"295";"15";"310";"1,81";"1,94";"Justiniškių";7;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"398";"18";"416";"2,42";"1,72";"Justiniškių";7;"LS"
10;"Lietuvos liaudies partija";"126";"4";"130";"0,76";"1,01";"Justiniškių";7;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"87";"12";"99";"0,58";"0,54";"Justiniškių";7;"JL"
9;"„Drąsos kelias“ politinė partija";"21";"0";"21";"0,12";"0,28";"Justiniškių";7;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5372";"547";"5919";"28,50";"21,66";"Karoliniškių";8;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2799";"117";"2916";"14,04";"21,54";"Karoliniškių";8;"LVZS"
1;"Lietuvos socialdemokratų partija";"1925";"158";"2083";"10,03";"14,43";"Karoliniškių";8;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2567";"171";"2738";"13,19";"9,04";"Karoliniškių";8;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"700";"32";"732";"3,52";"6,06";"Karoliniškių";8;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"2072";"64";"2136";"10,29";"5,49";"Karoliniškių";8;"LLRA"
5;"Partija Tvarka ir teisingumas";"581";"33";"614";"2,96";"5,33";"Karoliniškių";8;"PTT"
8;"Darbo partija";"578";"32";"610";"2,94";"4,69";"Karoliniškių";8;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"1058";"65";"1123";"5,41";"2,14";"Karoliniškių";8;"LLS"
12;"Lietuvos žaliųjų partija";"492";"24";"516";"2,48";"1,94";"Karoliniškių";8;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"438";"27";"465";"2,24";"1,72";"Karoliniškių";8;"LS"
10;"Lietuvos liaudies partija";"182";"10";"192";"0,92";"1,01";"Karoliniškių";8;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"79";"4";"83";"0,40";"0,54";"Karoliniškių";8;"JL"
9;"„Drąsos kelias“ politinė partija";"26";"2";"28";"0,13";"0,28";"Karoliniškių";8;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"5073";"480";"5553";"28,99";"21,66";"Lazdynų";9;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2471";"132";"2603";"13,59";"21,54";"Lazdynų";9;"LVZS"
1;"Lietuvos socialdemokratų partija";"1942";"147";"2089";"10,91";"14,43";"Lazdynų";9;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"2405";"213";"2618";"13,67";"9,04";"Lazdynų";9;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"595";"35";"630";"3,29";"6,06";"Lazdynų";9;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"2060";"80";"2140";"11,17";"5,49";"Lazdynų";9;"LLRA"
5;"Partija Tvarka ir teisingumas";"565";"39";"604";"3,15";"5,33";"Lazdynų";9;"PTT"
8;"Darbo partija";"538";"28";"566";"2,96";"4,69";"Lazdynų";9;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"709";"48";"757";"3,95";"2,14";"Lazdynų";9;"LLS"
12;"Lietuvos žaliųjų partija";"287";"15";"302";"1,58";"1,94";"Lazdynų";9;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"440";"17";"457";"2,39";"1,72";"Lazdynų";9;"LS"
10;"Lietuvos liaudies partija";"174";"10";"184";"0,96";"1,01";"Lazdynų";9;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"74";"9";"83";"0,43";"0,54";"Lazdynų";9;"JL"
9;"„Drąsos kelias“ politinė partija";"32";"2";"34";"0,18";"0,28";"Lazdynų";9;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3254";"299";"3553";"21,49";"21,66";"Naujosios Vilnios";10;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"1478";"74";"1552";"9,39";"21,54";"Naujosios Vilnios";10;"LVZS"
1;"Lietuvos socialdemokratų partija";"1404";"97";"1501";"9,08";"14,43";"Naujosios Vilnios";10;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1591";"124";"1715";"10,38";"9,04";"Naujosios Vilnios";10;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"380";"28";"408";"2,47";"6,06";"Naujosios Vilnios";10;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"3509";"199";"3708";"22,43";"5,49";"Naujosios Vilnios";10;"LLRA"
5;"Partija Tvarka ir teisingumas";"927";"54";"981";"5,93";"5,33";"Naujosios Vilnios";10;"PTT"
8;"Darbo partija";"884";"55";"939";"5,68";"4,69";"Naujosios Vilnios";10;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"730";"38";"768";"4,65";"2,14";"Naujosios Vilnios";10;"LLS"
12;"Lietuvos žaliųjų partija";"242";"12";"254";"1,54";"1,94";"Naujosios Vilnios";10;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"262";"11";"273";"1,65";"1,72";"Naujosios Vilnios";10;"LS"
10;"Lietuvos liaudies partija";"236";"11";"247";"1,49";"1,01";"Naujosios Vilnios";10;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"68";"5";"73";"0,44";"0,54";"Naujosios Vilnios";10;"JL"
9;"„Drąsos kelias“ politinė partija";"24";"3";"27";"0,16";"0,28";"Naujosios Vilnios";10;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"3034";"228";"3262";"21,19";"21,66";"Panerių";11;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"1825";"83";"1908";"12,39";"21,54";"Panerių";11;"LVZS"
1;"Lietuvos socialdemokratų partija";"1250";"98";"1348";"8,76";"14,43";"Panerių";11;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"1684";"131";"1815";"11,79";"9,04";"Panerių";11;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"501";"58";"559";"3,63";"6,06";"Panerių";11;"PUTKA"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"2374";"135";"2509";"16,30";"5,49";"Panerių";11;"LLRA"
5;"Partija Tvarka ir teisingumas";"645";"44";"689";"4,48";"5,33";"Panerių";11;"PTT"
8;"Darbo partija";"975";"73";"1048";"6,81";"4,69";"Panerių";11;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"631";"42";"673";"4,37";"2,14";"Panerių";11;"LLS"
12;"Lietuvos žaliųjų partija";"412";"31";"443";"2,88";"1,94";"Panerių";11;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"314";"19";"333";"2,16";"1,72";"Panerių";11;"LS"
10;"Lietuvos liaudies partija";"161";"15";"176";"1,14";"1,01";"Panerių";11;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"65";"12";"77";"0,50";"0,54";"Panerių";11;"JL"
9;"„Drąsos kelias“ politinė partija";"18";"5";"23";"0,15";"0,28";"Panerių";11;"DK"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"7014";"680";"7694";"35,14";"21,66";"Verkių";12;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"2449";"181";"2630";"12,01";"21,54";"Verkių";12;"LVZS"
1;"Lietuvos socialdemokratų partija";"2094";"182";"2276";"10,40";"14,43";"Verkių";12;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"3336";"318";"3654";"16,69";"9,04";"Verkių";12;"LRLS"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"539";"35";"574";"2,62";"6,06";"Verkių";12;"PUTKA"
