"partijos_no";"partija_full";"apylinkes";"pastas";"balsai";"proc_rinkejai";"mandatai";"partija"
2;"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"233256";"42075";"275331";"21,66";20;"TSLKD"
6;"Lietuvos valstiečių ir žaliųjų sąjunga";"242770";"31087";"273857";"21,54";19;"LVZS"
1;"Lietuvos socialdemokratų partija";"157058";"26359";"183417";"14,43";13;"LSDP"
7;"Lietuvos Respublikos liberalų sąjūdis";"98497";"16365";"114862";"9,04";8;"LRLS"
11;"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"60025";"9771";"69796";"5,49";5;"LLRA"
5;"Partija Tvarka ir teisingumas";"56761";"11026";"67787";"5,33";5;"PTT"
14;"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"68799";"8238";"77037";"6,06";NA;"PUTKA"
8;"Darbo partija";"48935";"10669";"59604";"4,69";NA;"DP"
3;"Lietuvos laisvės sąjunga (liberalai)";"23496";"3735";"27231";"2,14";NA;"LLS"
12;"Lietuvos žaliųjų partija";"21856";"2796";"24652";"1,94";NA;"LZS"
13;"Politinė partija „Lietuvos sąrašas“";"19737";"2176";"21913";"1,72";NA;"LS"
10;"Lietuvos liaudies partija";"11194";"1626";"12820";"1,01";NA;"LLP"
4;"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"5769";"1086";"6855";"0,54";NA;"JL"
9;"„Drąsos kelias“ politinė partija";"2995";"505";"3500";"0,28";NA;"DK"
