"partijos_no";"partija";"partija1"
"1";"Lietuvos socialdemokratų partija";"LSDP"
"10";"Lietuvos liaudies partija";"LLP"
"11";"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"LLRA"
"12";"Lietuvos žaliųjų partija";"LZS"
"13";"Politinė partija „Lietuvos sąrašas“";"LS"
"14";"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"PUTKA"
"2";"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"TSLKD"
"3";"Lietuvos laisvės sąjunga (liberalai)";"LLS"
"4";"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"JL"
"5";"Partija Tvarka ir teisingumas";"PTT"
"6";"Lietuvos valstiečių ir žaliųjų sąjunga";"LVZS"
"7";"Lietuvos Respublikos liberalų sąjūdis";"LRLS"
"8";"Darbo partija";"DP"
"9";"„Drąsos kelias“ politinė partija";"DK"
