"kandidatas";"partija";"balsadeze";"pastas";"balsai";"proc_galiojantis";"proc_rinkejai";"proc_apygarda";"apygarda";"apygardos_no";"apylinke";"apylinkes_no"
"ŽYGIMANTAS PAVILIONIS";"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"769";"225";"994";"46,54";"45,16";"3,82";"Naujamiesčio";1;"Gedimino";2
"VIRGILIJUS ALEKNA";"Lietuvos Respublikos liberalų sąjūdis";"321";"128";"449";"21,02";"20,40";"1,72";"Naujamiesčio";1;"Gedimino";2
"FAUSTAS LATĖNAS";"Lietuvos socialdemokratų partija";"173";"26";"199";"9,32";"9,04";"0,76";"Naujamiesčio";1;"Gedimino";2
"PETRAS NAUSĖDA";"Lietuvos laisvės sąjunga (liberalai)";"91";"30";"121";"5,66";"5,50";"0,46";"Naujamiesčio";1;"Gedimino";2
"JŪRATĖ ZABIELAITĖ";"Politinė partija „Lietuvos sąrašas“";"77";"14";"91";"4,26";"4,13";"0,35";"Naujamiesčio";1;"Gedimino";2
"ARTUR LIUDKOVSKI";"Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga";"42";"10";"52";"2,43";"2,36";"0,20";"Naujamiesčio";1;"Gedimino";2
"ALVYDAS MEDALINSKAS";"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"46";"5";"51";"2,39";"2,32";"0,20";"Naujamiesčio";1;"Gedimino";2
"LAURYNAS OKOCKIS";"Lietuvos žaliųjų partija";"36";"11";"47";"2,20";"2,14";"0,18";"Naujamiesčio";1;"Gedimino";2
"IEVA KAČINSKAITĖ-URBONIENĖ";"Darbo partija";"28";"9";"37";"1,73";"1,68";"0,14";"Naujamiesčio";1;"Gedimino";2
"ELONA ŠVIPIENĖ";"Lietuvos liaudies partija";"17";"8";"25";"1,17";"1,14";"0,10";"Naujamiesčio";1;"Gedimino";2
"ARŪNAS EIGIRDAS";"S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)";"20";"3";"23";"1,08";"1,04";"0,09";"Naujamiesčio";1;"Gedimino";2
"DOVILĖ ŠAKALIENĖ";"Lietuvos valstiečių ir žaliųjų sąjunga";"0";"23";"23";"1,08";"1,04";"0,09";"Naujamiesčio";1;"Gedimino";2
"DAIVA URBONAVIČIŪTĖ";"Partija Tvarka ir teisingumas";"13";"4";"17";"0,80";"0,77";"0,07";"Naujamiesčio";1;"Gedimino";2
"EINARAS VILDĖ";"„Drąsos kelias“ politinė partija";"3";"4";"7";"0,33";"0,32";"0,03";"Naujamiesčio";1;"Gedimino";2
"ŽYGIMANTAS PAVILIONIS";"Tėvynės sąjunga - Lietuvos krikščionys demokratai";"369";"55";"424";"36,33";"35,01";"1,63";"Naujamiesčio";1;"Pamėnkalnio";8
"VIRGILIJUS ALEKNA";"Lietuvos Respublikos liberalų sąjūdis";"189";"39";"228";"19,54";"18,83";"0,88";"Naujamiesčio";1;"Pamėnkalnio";8
"FAUSTAS LATĖNAS";"Lietuvos socialdemokratų partija";"89";"17";"106";"9,08";"8,75";"0,41";"Naujamiesčio";1;"Pamėnkalnio";8
"DOVILĖ ŠAKALIENĖ";"Lietuvos valstiečių ir žaliųjų sąjunga";"56";"15";"71";"6,08";"5,86";"0,27";"Naujamiesčio";1;"Pamėnkalnio";8
"PETRAS NAUSĖDA";"Lietuvos laisvės sąjunga (liberalai)";"40";"12";"52";"4,46";"4,29";"0,20";"Naujamiesčio";1;"Pamėnkalnio";8
"IEVA KAČINSKAITĖ-URBONIENĖ";"Darbo partija";"9";"43";"52";"4,46";"4,29";"0,20";"Naujamiesčio";1;"Pamėnkalnio";8
"JŪRATĖ ZABIELAITĖ";"Politinė partija „Lietuvos sąrašas“";"34";"13";"47";"4,03";"3,88";"0,18";"Naujamiesčio";1;"Pamėnkalnio";8
"ALVYDAS MEDALINSKAS";"Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)";"35";"11";"46";"3,94";"3,80";"0,18";"Naujamiesčio";1;"Pamėnkalnio";8
